BATBC,BEXIMCO,LANKABANGLA
907.6,13,12.9
941.5,13,12.9
915,13,12.9
907.6,13,12.9
907.6,13.3,12.9
907.6,13.1,12.9
907.6,13.4,12.9
907.6,14.3,13
907.6,14.2,13.6
907.6,14.5,13.3
922.8,15.9,13.8
921.6,17.4,15.1
956.7,18.6,14.7
957.9,20.4,16.1
964.1,21.3,17
941.2,21.5,17.4
941.1,21,17.1
948.4,23,16.4
952.4,25.3,17.2
997.7,26.2,17.1
1020.6,25,17.4
1022.2,24.7,17
1086,26.5,17.1
1094.1,26.1,16.9
1075.4,26,17.6
1053.8,26.7,18.7
1083.6,26.5,18.2
1073.6,28.1,19.2
1068.8,27.6,20.8
1075.6,27.3,21.1
1069.5,28.1,21.6
1077.6,27.7,21.6
1079.9,26.6,20.8
1093,26.1,20.9
1108.2,25.3,22
1153,26.1,21.5
1191,26.1,21.1
1194.6,25.2,21.5
1174.7,25.4,22.4
1154.5,25.7,22.6
1140.1,25.3,22.2
1145.2,24.9,21.6
1121,24,21.3
1101.6,24.1,21.6
1090.5,23.2,23
1117.9,25.5,22.8
1120.6,25,22.3
1118.7,24.3,22.6
1102.2,25.9,23.2
1090.3,26,23.3
1071.5,25.1,23
1079.9,24.8,23.5
1076.5,24.7,23.1
1071.5,25,22.6
1069.9,23.9,21.1
1071,23.3,20.8
1085.3,23.3,20.9
1105.2,23.4,20.1
1125.3,23.4,21
1116.9,23.6,21.1
1101.7,24.8,22.3
1116.4,24.2,22.3
1109.7,23.6,22
1097.3,23.4,22.4
1098,22.2,23
1089.1,20.5,23.1
1086.4,19.9,22.5
1089.6,21.2,22.4
1085.5,22.9,22.4
1085.9,22.2,22.7
1087.3,22.2,22.3
1097.4,22.3,21.7
1103.7,24.5,21.9
1115.3,24.5,21.5
1107.4,23.7,22
1067.7,22.8,21.5
1060.4,24.4,21.2
1066.3,25,21.3
1057.7,22.7,20.6
1043.5,22.5,20.6
1050.1,22.6,21
1039.1,22.8,20.8
1034.2,23.2,20.4
1035.4,22.9,20.1
1033.2,22.3,19.9
1034,22.3,19.8
1029.5,24.4,20.2
1029.9,25.5,20.1
1032.2,24.3,20.3
1057.5,25.1,20.1
1061.8,25.7,20.4
1064.6,26.5,20.4
1052.6,27.9,21.3
1049.2,28.8,22.9
1050.2,27.9,22.4
1060,29.7,22.1
1104.1,30,22.2
1098.4,31.3,22.2
1116.2,33,22.8
1109.2,32.6,22.9
1090,32,22.7
1095.5,34.7,22.4
1085.4,37.9,21.9
1078.3,38.5,22.3
1078.4,42.1,21.9
1108.8,46.3,21.9
1121.7,45.9,24
1159.8,49.1,26.4
1180.8,53.7,28.3
1249.4,57,28.6
1252.2,62.7,31.4
1213.3,65.7,34.5
1198.5,61.7,37.5
1207.9,64.6,34.8
1227.6,65.6,38.1
1253,66,39.5
1299.5,72.6,38.3
1337.5,79.8,39.8
1388.3,79.5,43.7
1446.6,87.4,41.5
1413.5,78.7,45.6
1418.3,79.6,42.3
1410.4,83.9,43.7
1424.4,82.7,43.5
1418.8,83.3,46.3
1438.3,88.9,45
1506.1,89.1,42.4
1589.3,81.8,39.8
1602.5,78.6,41.2
1562.6,85,41.5
1488.5,87.2,39
1507.7,83.2,37.5
1598.7,81.3,37.9
1698.6,81.6,39.2
1596.4,82.7,40.5
1496.9,75.2,37
1493,69.5,34.1
1509.7,76.3,37.5
1599,81.3,37.5
1554.7,85.2,36.3
1621.5,91.1,35.9
1602.9,95.1,39.1
1592.3,95.3,38.6
1537.3,89.7,37.2
1512.1,91.1,37
1522.7,88.2,35.7
1527.1,81.3,34.4
1544.9,86.1,36.4
1546,85.5,34.9
1554,80.5,33
556.8,83.3,32.6
598.5,85.4,35.8
592.8,84,34.3
574.7,82.1,33.7
567.8,81.9,35.4
570.4,84.4,36.3
557.7,82.4,35.2
552.8,83.6,36.1
539.9,83.1,36.3
532.4,82.5,35.2
527.5,81.5,34.5
560.5,77.2,33.8
549.8,74.2,32.1
546.8,76,30.4
542.2,77,31.3
541,71.5,30.5
535.4,73.1,28.8
529,73.3,28.2
526.8,77.2,28.3
523.7,73.8,29.6
526.5,75.1,27.7
537.4,68.5,27.6
533.4,72.3,24.9
529.4,74.2,27.1
529.3,74.9,28
529.3,72.7,27
530.4,68.7,25.4
529.5,69,25.3
522.9,72,26.4
522.9,76.5,29
523,80.3,31.5
525.6,81.8,32
523.6,85.7,33.2
524.4,86.1,32.2
520.9,85.7,33.5
519.7,86.2,33.6
518.4,84.3,32.3
518.2,81.7,31.3
519.3,86,32.9
519.9,87,32.3
518.3,89.6,32.7
518,90.7,33.8
520.8,87.8,34.7
544.3,86.8,36
547.9,86.7,35.1
541.6,88.5,34.9
542.1,89.1,35.4
554.6,87.5,35.3
570,86,34.9
563.1,85.5,35.3
557.8,86,34.5
557.1,89.2,36.5
566,90.8,35.3
560.2,88.7,34.8
,87.9,35.4
